date,ticker,close_usd
2026-07-09,MARA,13.22
2026-07-09,CLSK,12.89
2026-07-09,RIOT,21.51
2026-07-09,IREN,41.72
2026-07-09,BTDR,14.33
2026-07-09,CORZ,23.74
2026-07-09,HIVE,3.36
2026-07-09,WULF,23.20
2026-07-09,CIFR,23.26
2026-07-09,HUT,106.22
2026-07-09,CANG,2.30
2026-07-09,ABTC,5.98
2026-07-09,CAN,0.31
2026-07-10,MARA,12.60
2026-07-10,CLSK,12.85
2026-07-10,RIOT,20.97
2026-07-10,IREN,41.14
2026-07-10,BTDR,13.29
2026-07-10,CORZ,23.49
2026-07-10,HIVE,3.35
2026-07-10,WULF,21.97
2026-07-10,CIFR,22.11
2026-07-10,HUT,102.22
2026-07-10,CANG,2.10
2026-07-10,ABTC,6.13
2026-07-10,CAN,0.31
2026-07-13,MARA,12.19
2026-07-13,CLSK,12.36
2026-07-13,RIOT,20.19
2026-07-13,IREN,38.98
2026-07-13,BTDR,12.13
2026-07-13,CORZ,22.71
2026-07-13,HIVE,3.19
2026-07-13,WULF,20.89
2026-07-13,CIFR,20.08
2026-07-13,HUT,99.17
2026-07-13,CANG,2.00
2026-07-13,ABTC,5.28
2026-07-13,CAN,0.30
2026-07-14,MARA,12.16
2026-07-14,CLSK,13.45
2026-07-14,RIOT,20.19
2026-07-14,IREN,38.59
2026-07-14,BTDR,12.36
2026-07-14,CORZ,22.09
2026-07-14,HIVE,3.18
2026-07-14,WULF,19.41
2026-07-14,CIFR,19.87
2026-07-14,HUT,98.33
2026-07-14,CANG,2.00
2026-07-14,ABTC,5.40
2026-07-14,CAN,0.29
2026-07-15,MARA,12.29
2026-07-15,CLSK,14.13
2026-07-15,RIOT,20.10
2026-07-15,IREN,38.28
2026-07-15,BTDR,12.57
2026-07-15,CORZ,22.72
2026-07-15,HIVE,3.20
2026-07-15,WULF,19.37
2026-07-15,CIFR,19.87
2026-07-15,HUT,103.03
2026-07-15,CANG,2.00
2026-07-15,ABTC,5.65
2026-07-15,CAN,0.29
2026-07-16,MARA,11.42
2026-07-16,CLSK,12.90
2026-07-16,RIOT,18.82
2026-07-16,IREN,34.83
2026-07-16,BTDR,11.23
2026-07-16,CORZ,21.02
2026-07-16,HIVE,2.88
2026-07-16,WULF,17.98
2026-07-16,CIFR,17.72
2026-07-16,HUT,91.91
2026-07-16,CANG,1.80
2026-07-16,ABTC,5.46
2026-07-16,CAN,0.28
